studentNum,marks
1,75
2,48
3,7
4,54
5,87
6,8
7,8
8,85
9,1
10,72
11,28
12,36
13,96
14,99
15,24
16,76
17,83
18,60
19,75
20,55
21,15
22,48
23,12
24,25
25,49
26,58
27,36
28,14
29,84
30,40
31,48
32,86
33,8
34,97
35,75
36,3
37,90
38,7
39,60
40,57
41,10
42,63
43,7
44,18
45,6
46,8
47,71
48,43
49,63
50,14
51,91
52,86
53,39
54,87
55,21
56,29
57,59
58,65
59,73
60,34
61,79
62,71
63,44
64,84
65,14
66,10
67,29
68,53
69,86
70,83
71,11
72,59
73,25
74,60
75,93
76,43
77,20
78,63
79,73
80,77
81,7
82,11
83,86
84,64
85,20
86,42
87,75
88,6
89,89
90,71
91,59
92,30
93,72
94,61
95,4
96,20
97,32
98,19
99,75
100,24
101,38
102,24
103,77
104,10
105,1
106,24
107,57
108,70
109,8
110,13
111,38
112,49
113,63
114,85
115,55
116,60
117,41
118,96
119,58
120,42
121,84
122,88
123,49
124,33
125,51
126,90
127,80
128,37
129,68
130,10
131,78
132,29
133,13
134,37
135,100
136,10
137,86
138,26
139,39
140,16
141,86
142,87
143,45
144,65
145,86
146,57
147,48
148,77
149,59
150,93
151,22
152,67
153,92
154,12
155,79
156,96
157,7
158,57
159,50
160,11
161,20
162,87
163,24
164,51
165,49
166,14
167,17
168,58
169,23
170,41
171,42
172,11
173,25
174,71
175,46
176,89
177,69
178,17
179,49
180,100
181,72
182,98
183,79
184,15
185,59
186,76
187,92
188,32
189,76
190,33
191,88
192,14
193,45
194,81
195,66
196,96
197,13
198,81
199,14
200,73
201,38
202,34
203,90
204,21
205,31
206,45
207,96
208,73
209,20
210,69
211,86
212,5
213,23
214,66
215,25
216,49
217,71
218,10
219,93
220,56
221,11
222,15
223,58
224,75
225,18
226,69
227,24
228,8
229,33
230,16
231,80
232,45
233,100
234,71
235,68
236,79
237,82
238,10
239,53
240,71
241,45
242,78
243,97
244,20
245,85
246,95
247,76
248,73
249,80
250,45
251,100
252,91
253,36
254,23
255,68
256,41
257,66
258,45
259,46
260,92
261,19
262,6
263,85
264,15
265,49
266,22
267,88
268,31
269,30
270,47
271,76
272,78
273,59
274,77
275,2
276,87
277,84
278,35
279,88
280,46
281,90
282,70
283,25
284,77
285,33
286,53
287,79
288,70
289,54
290,1
291,3
292,27
293,18
294,43
295,59
296,82
297,85
298,36
299,19
300,73
301,100
302,18
303,53
304,61
305,53
306,61
307,33
308,13
309,24
310,51
311,50
312,27
313,88
314,35
315,43
316,91
317,35
318,71
319,12
320,69
321,9
322,23
323,40
324,29
325,65
326,58
327,43
328,12
329,58
330,13
331,32
332,89
333,57
334,60
335,15
336,36
337,41
338,64
339,72
340,92
341,49
342,11
343,72
344,56
345,65
346,99
347,10
348,57
349,28
350,23
351,54
352,66
353,85
354,32
355,89
356,76
357,66
358,26
359,73
360,31
361,54
362,42
363,65
364,57
365,41
366,66
367,21
368,16
369,31
370,74
371,91
372,8
373,62
374,100
375,6
376,6
377,77
378,79
379,69
380,74
381,67
382,23
383,29
384,17
385,35
386,35
387,39
388,44
389,95
390,40
391,71
392,56
393,28
394,94
395,24
396,82
397,64
398,11
399,69
400,14
401,83
402,23
403,91
404,32
405,1
406,33
407,91
408,30
409,61
410,3
411,43
412,18
413,28
414,17
415,47
416,38
417,35
418,26
419,29
420,98
421,83
422,89
423,65
424,17
425,51
426,26
427,61
428,67
429,95
430,100
431,63
432,30
433,38
434,49
435,21
436,23
437,87
438,26
439,42
440,57
441,40
442,67
443,74
444,85
445,79
446,51
447,86
448,97
449,60
450,34
451,59
452,22
453,49
454,11
455,97
456,89
457,3
458,67
459,28
460,44
461,27
462,37
463,13
464,81
465,10
466,50
467,78
468,51
469,2
470,73
471,12
472,64
473,63
474,57
475,43
476,63
477,90
478,42
479,79
480,86
481,76
482,83
483,61
484,2
485,38
486,17
487,30
488,8
489,40
490,39
491,36
492,52
493,60
494,80
495,88
496,28
497,25
498,89
499,80
500,36
501,47
502,48
503,95
504,12
505,12
506,66
507,65
508,78
509,11
510,43
511,58
512,33
513,59
514,52
515,37
516,95
517,33
518,29
519,73
520,51
521,87
522,95
523,23
524,27
525,54
526,89
527,86
528,42
529,34
530,27
531,25
532,38
533,91
534,26
535,75
536,39
537,65
538,27
539,47
540,32
541,92
542,12
543,36
544,25
545,45
546,64
547,26
548,54
549,16
550,5
551,22
552,88
553,89
554,64
555,36
556,27
557,38
558,14
559,34
560,23
561,30
562,2
563,62
564,41
565,76
566,63
567,31
568,17
569,39
570,6
571,1
572,74
573,65
574,84
575,86
576,22
577,28
578,39
579,60
580,3
581,60
582,70
583,2
584,100
585,91
586,74
587,17
588,57
589,10
590,16
591,5
592,29
593,25
594,59
595,2
596,41
597,73
598,96
599,75
600,62
601,22
602,84
603,18
604,75
605,43
606,93
607,61
608,13
609,64
610,24
611,91
612,38
613,53
614,15
615,42
616,3
617,47
618,2
619,75
620,38
621,33
622,87
623,66
624,28
625,20
626,74
627,32
628,56
629,2
630,4
631,76
632,2
633,57
634,53
635,23
636,25
637,13
638,10
639,8
640,48
641,43
642,71
643,10
644,12
645,90
646,38
647,60
648,65
649,49
650,4
651,93
652,14
653,29
654,28
655,34
656,49
657,83
658,16
659,11
660,22
661,9
662,84
663,70
664,78
665,15
666,84
667,69
668,66
669,96
670,99
671,1
672,9
673,15
674,97
675,91
676,69
677,10
678,91
679,100
680,85
681,79
682,98
683,8
684,68
685,66
686,90
687,14
688,84
689,76
690,41
691,78
692,58
693,82
694,83
695,39
696,45
697,79
698,15
699,1
700,50
701,50
702,14
703,55
704,30
705,95
706,32
707,97
708,67
709,60
710,72
711,7
712,40
713,12
714,31
715,30
716,27
717,47
718,29
719,1
720,66
721,39
722,53
723,7
724,40
725,87
726,29
727,75
728,6
729,92
730,75
731,40
732,60
733,77
734,49
735,2
736,14
737,30
738,70
739,40
740,72
741,2
742,70
743,66
744,99
745,34
746,54
747,27
748,82
749,84
750,55
751,49
752,46
753,8
754,53
755,51
756,61
757,2
758,48
759,57
760,7
761,88
762,42
763,64
764,97
765,39
766,11
767,29
768,3
769,17
770,87
771,5
772,2
773,47
774,29
775,33
776,73
777,1
778,5
779,10
780,85
781,59
782,64
783,20
784,100
785,3
786,30
787,44
788,3
789,52
790,90
791,5
792,37
793,53
794,87
795,33
796,42
797,86
798,26
799,23
800,28
801,100
802,30
803,88
804,13
805,50
806,81
807,56
808,55
809,49
810,33
811,18
812,69
813,65
814,26
815,85
816,68
817,38
818,42
819,1
820,82
821,98
822,70
823,43
824,10
825,89
826,28
827,86
828,34
829,4
830,41
831,99
832,62
833,93
834,35
835,13
836,67
837,79
838,85
839,2
840,48
841,98
842,83
843,13
844,3
845,40
846,77
847,99
848,55
849,10
850,13
851,33
852,94
853,21
854,15
855,96
856,15
857,11
858,95
859,5
860,45
861,17
862,98
863,68
864,85
865,79
866,2
867,18
868,26
869,38
870,5
871,67
872,82
873,41
874,39
875,74
876,97
877,43
878,69
879,39
880,67
881,57
882,6
883,39
884,62
885,12
886,96
887,71
888,55
889,33
890,46
891,46
892,26
893,87
894,78
895,37
896,79
897,5
898,83
899,6
900,81
901,57
902,66
903,50
904,57
905,75
906,87
907,68
908,28
909,29
910,12
911,86
912,23
913,33
914,56
915,38
916,3
917,10
918,57
919,12
920,48
921,61
922,100
923,84
924,5
925,18
926,74
927,63
928,8
929,34
930,50
931,54
932,58
933,34
934,57
935,99
936,67
937,20
938,87
939,55
940,91
941,99
942,54
943,90
944,99
945,74
946,64
947,40
948,87
949,40
950,38
951,41
952,44
953,42
954,50
955,28
956,52
957,75
958,14
959,10
960,93
961,37
962,13
963,70
964,85
965,88
966,10
967,6
968,86
969,22
970,63
971,34
972,17
973,53
974,81
975,33
976,86
977,72
978,28
979,63
980,82
981,27
982,24
983,97
984,49
985,86
986,62
987,33
988,65
989,72
990,12
991,69
992,80
993,44
994,24
995,92
996,27
997,6
998,16
999,95
1000,63
1001,20
1002,16
1003,90
1004,45
1005,67
1006,22
1007,84
1008,87
1009,100
1010,56
1011,97
1012,12
1013,55
1014,41
1015,50
1016,60
1017,45
1018,96
1019,62
1020,77
1021,30
1022,89
1023,76
1024,53
1025,34
1026,65
1027,21
1028,69
1029,22
1030,74
1031,36
1032,48
1033,30
1034,82
1035,26
1036,24
1037,68
1038,4
1039,16
1040,29
1041,14
1042,7
1043,40
1044,9
1045,33
1046,100
1047,42
1048,71
1049,12
1050,28
1051,83
1052,51
1053,13
1054,55
1055,19
1056,37
1057,43
1058,80
1059,23
1060,53
