HID,hDate
447772288958860,4/18/2020
098728455064807,3/23/2021
571521431016818,6/2/2020
062710167020390,6/23/2020
549467479661982,4/11/2020
728141616953728,4/12/2020
856696445557859,9/6/2020
110454485534135,11/27/2020
097728915020775,6/30/2020
058715874820852,9/30/2020
233710258168162,2/23/2021
359113709788877,2/1/2021
323937339622751,1/30/2021
260759048098514,2/10/2021
531625517530764,3/23/2021
861632697816723,9/23/2020
010950608933362,6/19/2020
399221900834477,5/31/2020
419076086364058,3/28/2021
317372113389303,8/2/2020
720023676656672,8/15/2020
083745182640905,11/19/2020
341736082970929,2/28/2021
973445067609984,9/3/2020
460977390551108,12/23/2020
816725520190564,11/15/2020
515977947210644,5/24/2020
031113387109247,4/23/2020
614471900677126,2/8/2021
970564226231202,6/20/2020
936038830485439,10/4/2020
531922464080786,9/4/2020
112536681533711,4/21/2020
950250507297393,9/21/2020
108466952834293,5/26/2020
973065801452048,1/17/2021
902800945863891,1/4/2021
640204001411020,11/9/2020
979294893573094,7/20/2020
507858255173890,6/4/2020
930969408126738,9/11/2020
023395027469268,12/15/2020
781067982309990,5/3/2020
564583164598874,12/16/2020
680356549130184,9/17/2020
175873964348037,6/8/2020
469047990045910,8/1/2020
589170275977238,3/8/2021
333766614088640,5/31/2020
448263045276228,9/6/2020
873152584761068,12/20/2020
861761523076901,4/14/2020
024168784355606,5/16/2020
441193415811051,12/21/2020
835420089759180,1/7/2021
203048280458399,4/3/2020
343530233307980,12/1/2020
009457573010967,4/2/2020
383354599567813,9/17/2020
035953677861545,7/23/2020
648099459303917,10/6/2020
660306708032389,2/24/2021
054541646083227,11/26/2020
246924990550477,2/7/2021
106186528573147,1/6/2021
743206483987834,10/2/2020
180921993046234,1/10/2021
408113344509197,9/25/2020
019249539528191,8/16/2020
831524275911051,8/14/2020
057403799503350,2/15/2021
473550132583975,5/31/2020
013814339945734,4/7/2020
465479074075129,2/20/2021
433912360065342,10/16/2020
640204503535720,8/5/2020
503529108050318,7/6/2020
311635119094986,11/14/2020
187475563342393,8/24/2020
427637524964933,9/23/2020
653623002708403,9/26/2020
947908086731092,7/15/2020
443786117987492,9/24/2020
556699075715966,8/6/2020
819295249082101,9/29/2020
749173898980842,3/12/2021
444206356272073,8/4/2020
395374913974004,10/12/2020
838528263452969,8/3/2020
991138807671032,11/24/2020
793713869666712,6/14/2020
878996614569857,11/21/2020
965356572221792,6/15/2020
809423093195994,9/24/2020
312233950506867,9/7/2020
171513725999755,3/1/2021
248842999182991,1/5/2021
937560260459110,2/23/2021
026722051181863,10/20/2020
078833297833420,6/23/2020
